country,year,agriculture_value,gdp_per_capita,population,poverty_headcount,school_enrollment,unemployment_rate,agriculture_value_change,gdp_per_capita_change,population_change,poverty_headcount_change,school_enrollment_change,unemployment_rate_change
KE,2019,20.8611638110686,1960.40808854893,51202827.0,33.67153284671533,80.67822719063545,5.014,2.6889283772754125,6.749715335825801,1.9832252035553388,0.0,0.0,17.040149393090577
KE,2020,22.7027261604451,1927.66459027849,52217334.0,44.4,80.67822719063545,5.613,8.827706670897207,-1.67023888861203,1.9813495844672735,31.862128766529363,0.0,11.946549660949346
KE,2021,21.4770750957252,2061.35622089594,53219166.0,46.4,80.67822719063545,5.693,-5.398695540165333,6.935419745306182,1.9185812895005316,4.504504504504503,0.0,1.425262782825576
KE,2022,21.0361920649933,2109.56288513137,54252461.0,45.5,80.67822719063545,5.565,-2.052807604233098,2.3385896987022203,1.9415843532760269,-1.93965517241379,0.0,-2.2483751976110855
KE,2023,21.4522060902205,1942.58802756191,55339003.0,33.67153284671533,80.67822719063545,5.409,1.977610890516135,-7.91514008642894,2.002751543381609,-25.996631106120148,0.0,-2.803234501347718
KE,2024,22.4728462758555,2132.43452097647,56432944.0,33.67153284671533,80.67822719063545,5.487,4.757739979480635,9.772864380968693,1.976799256755668,0.0,0.0,1.4420410427065988
KE,2025,21.69014588257372,1521.7108224729895,63267350.39333333,33.67153284671533,80.67822719063545,5.449,-3.48287165619382,-28.639739813620256,12.11066782787964,0.0,0.0,-0.692546017860407
KH,2000,35.5277357364566,296.426687526334,12462336.0,33.67153284671533,92.40854,0.745,0.0,0.0,0.0,0.0,0.0,0.0
KH,2001,32.9653772534886,327.500984314444,12658484.0,33.67153284671533,80.67822719063545,0.778,-7.2122763521308535,10.482961924725288,1.5739264292023547,0.0,-12.693970502471464,4.429530201342291
KH,2002,29.6110046760937,350.147276634294,12855241.0,33.67153284671533,80.67822719063545,0.862,-10.175441195777356,6.914877635331496,1.5543488461967403,0.0,0.0,10.796915167095111
KH,2003,29.4743795697528,386.691123931778,13050968.0,33.67153284671533,97.43006,0.909,-0.46139976618626566,10.436707561673163,1.522546329547625,0.0,20.763759185959117,5.4524361948955935
KH,2004,26.6286627547039,444.199067529081,13244731.0,33.67153284671533,80.67822719063545,1.004,-9.654882839227707,14.87180336920504,1.484663819572618,0.0,-17.193700598526306,10.451045104510449
KH,2005,27.4457888917427,525.797325120926,13439202.0,33.67153284671533,80.67822719063545,1.061,3.0685962136587586,18.36974986141835,1.468289540950285,0.0,0.0,5.677290836653381
